svc,cn,sans
broker1,broker1,broker1
broker2,broker2,broker2
broker3,broker3,broker3
controller1,controller1,controller1
controller2,controller2,controller2
controller3,controller3,controller3
kafka-connect,kafka-connect,kafka-connect
schema-registry,schema-registry,schema-registry
akhq,akhq,akhq
kminion,kminion,kminion
cruise-control,cruise-control,cruise-control
loadgen,loadgen,loadgen
mcp-kafka,mcp-kafka,mcp-kafka
admin,admin,admin
host-admin,host-admin,localhost
otel-collector,otel-collector,otel-collector
kroxylicious,kroxylicious,kroxylicious;localhost
grafana,grafana,grafana;localhost
prometheus,prometheus,prometheus;localhost
loki,loki,loki;localhost
tempo,tempo,tempo;localhost
pyroscope,pyroscope,pyroscope;localhost
pyroscope-tls,pyroscope-tls,pyroscope-tls;localhost
alertmanager,alertmanager,alertmanager;localhost
